,Season,TeamName,Size,Hgt5,Hgt4,Hgt3,Hgt2,Hgt1,HgtEff,Exp,Bench,Pts5,Pts4,Pts3,Pts2,Pts1,OR5,OR4,OR3,OR2,OR1,DR5,DR4,DR3,DR2,DR1
0,2007,Air Force,77.0,-0.69,-0.06,1.07,1.32,2.47,-0.75,2.61,15.21,18.61,22.61,24.72,16.27,17.79,21.74,25.11,18.12,24.0,11.03,23.29,24.96,18.92,14.67,18.17
1,2007,Akron,75.76,-1.52,0.47,-2.08,-1.85,0.47,-1.05,2.09,28.18,20.79,21.0,19.92,18.68,19.61,27.05,28.4,31.45,7.71,5.38,22.97,24.52,28.4,12.05,12.05
2,2007,Alabama,77.65,0.52,0.26,2.07,1.39,0.31,0.78,1.41,28.57,22.02,22.87,22.97,18.0,14.13,23.41,37.6,22.21,11.41,5.36,32.71,29.21,17.16,12.68,8.24
3,2007,Alabama A&M,77.01,1.75,-1.17,0.07,1.15,1.47,0.58,0.77,33.08,14.4,19.94,23.39,23.06,19.22,25.17,29.0,11.99,15.91,17.92,34.37,21.22,13.7,15.21,15.49
4,2007,Alabama St.,76.28,-1.16,-0.26,1.07,1.2,-1.53,-1.42,1.91,26.83,19.91,20.54,22.0,18.5,19.05,28.95,30.34,17.95,17.56,5.2,29.66,24.8,14.84,13.82,16.88
5,2007,Albany,76.74,0.04,0.94,0.53,-0.37,-2.52,0.98,2.03,26.01,15.73,13.99,17.52,25.46,27.3,21.13,19.83,22.98,20.31,15.75,20.53,18.15,22.44,19.07,19.82
6,2007,Alcorn St.,76.51,0.01,-0.09,0.07,0.58,0.18,-0.07,2.09,42.56,19.84,15.26,19.77,23.14,21.99,35.54,20.28,18.4,12.25,13.54,27.25,20.52,20.51,12.54,19.18
7,2007,American,75.54,1.92,0.21,-1.35,-2.84,-2.53,2.13,2.3,32.7,18.42,11.55,27.59,24.24,18.2,29.98,39.01,10.13,12.79,8.09,27.48,23.86,20.58,15.95,12.13
8,2007,Appalachian St.,74.99,-0.52,-0.15,-1.93,-1.93,-3.53,-0.67,2.18,31.07,19.27,19.34,18.12,19.61,23.66,28.53,32.02,14.04,16.01,9.41,28.55,30.74,13.36,13.19,14.16
9,2007,Arizona,77.96,0.93,0.94,2.89,1.53,-1.48,1.87,1.66,18.62,22.01,23.56,22.46,16.85,15.11,31.67,26.05,21.84,14.16,6.29,24.89,23.72,21.96,14.74,14.68
10,2007,Arizona St.,77.29,0.63,-1.02,0.07,1.15,2.31,-0.39,1.08,23.78,23.81,18.11,17.61,23.88,16.59,41.32,30.55,15.96,8.16,4.0,31.69,25.06,16.44,14.22,12.6
11,2007,Arkansas,77.41,2.62,2.76,1.3,-0.85,0.47,5.38,1.43,26.86,17.73,23.86,20.62,19.87,17.92,26.05,32.43,19.54,11.12,10.86,23.56,26.42,17.52,16.81,15.69
12,2007,Arkansas Little Rock,76.43,-0.52,0.49,1.07,-0.85,0.47,-0.03,1.71,35.15,21.2,20.77,21.44,17.78,18.81,40.66,30.15,20.24,5.32,3.62,42.06,23.72,16.81,8.42,8.99
13,2007,Arkansas Pine Bluff,75.64,-1.52,-1.2,-0.93,0.15,0.01,-2.72,1.86,39.29,23.13,20.01,18.63,20.91,17.32,23.6,30.36,16.61,15.91,13.52,28.44,21.59,16.3,16.58,17.09
14,2007,Arkansas St.,76.37,0.15,0.52,-0.92,0.82,-0.76,0.66,1.92,29.44,22.88,12.75,21.49,24.65,18.22,24.77,33.75,23.74,9.83,7.92,30.68,23.38,17.73,15.23,12.99
15,2007,Army,74.66,-0.61,-1.79,-2.29,-1.85,-1.13,-2.4,1.59,41.2,15.82,13.17,32.63,25.03,13.35,40.39,28.05,10.25,7.93,13.39,26.79,20.73,14.07,18.1,20.3
16,2007,Auburn,76.83,-1.06,-0.13,0.07,1.15,1.47,-1.18,1.14,29.75,24.12,22.44,20.73,18.57,14.13,28.0,29.05,18.08,17.16,7.71,27.63,26.81,15.68,15.28,14.61
17,2007,Austin Peay,75.23,-3.0,-1.06,1.07,-0.41,-2.53,-4.06,1.3,27.66,17.49,21.49,21.49,22.3,17.24,32.1,23.24,23.24,17.31,4.1,21.48,23.65,23.65,17.27,13.96
18,2007,BYU,77.61,2.02,-0.06,2.07,0.94,1.91,1.96,2.17,31.74,20.21,22.31,22.5,20.54,14.44,31.0,23.8,23.77,14.73,6.71,24.2,22.03,21.99,16.71,15.06
