Team/Year,eFGPct,TOPct,ORPct,FTRate
2025 Abilene Christian,53.5680304471932,23.4061790948018,30.1127214170692,52.7117031398668
2025 Air Force,54.512105649303,15.8319096467969,28.9340101522843,34.7762289068232
2025 Akron,49.00074019245,17.665106765426,28.8461538461538,34.1968911917098
2025 Alabama,46.0885385081868,13.7178915600672,29.9521531100478,30.9278350515464
2025 Alabama A&M,54.4344995931652,20.8661700816885,37.8266850068776,47.2742066720911
2025 Alabama St.,52.0676691729323,17.6290755598318,33.4981458590853,41.7293233082707
2025 Albany,54.733492442323,20.2846444299654,29.5552367288379,37.0723945902944
2025 Alcorn St.,52.3899848254932,18.3851494602599,34.2002600780234,31.7147192716237
2025 American,52.938901778809,16.6008220599385,27.7401894451962,36.9682907965971
2025 Appalachian St.,45.5691367456073,14.8660906937215,29.1463414634146,22.7654698242934
2025 Arizona,47.0149253731343,17.8724766770001,27.641408751334,28.2225237449118
2025 Arizona St.,48.4563758389262,16.483275612643,30.1111111111111,29.5973154362416
2025 Arkansas,47.8947368421053,18.4043161089714,27.8350515463918,28.8421052631579
2025 Arkansas Pine Bluff,58.1610044313146,16.1925804607469,35.6578947368421,43.1314623338257
2025 Arkansas St.,45.8165997322624,17.8428649581282,30.5810397553517,37.14859437751
2025 Army,52.887323943662,15.6870068630655,29.0598290598291,25.9859154929577
2025 Auburn,45.1659451659452,17.6204785080117,29.7418630751964,36.7965367965368
2025 Austin Peay,52.4297646165528,17.971819805517,33.2046332046332,36.4464692482916
2025 BYU,50.8474576271186,17.772232408457,24.4873341375151,29.6241709653648
2025 Ball St.,52.0383693045564,13.9651219342736,29.1156462585034,32.7737809752198
2025 Baylor,52.4015748031496,19.6343504570619,31.1740890688259,33.5433070866142
2025 Bellarmine,59.1393754760091,15.1828292494632,30.6382978723404,34.2726580350343
2025 Belmont,55.3114754098361,17.4857857710121,29.3364377182771,26.8196721311475
2025 Bethune Cookman,49.1264849755416,17.1236977607472,31.1717861205916,32.5646401118099
2025 Binghamton,49.4607087827427,12.6687894835425,28.1368821292776,33.9753466872111
2025 Boise St.,48.5133020344288,15.9339134409743,22.7506426735219,30.829420970266
2025 Boston College,52.7578796561605,15.022232904699,29.2682926829268,38.6103151862464
2025 Boston University,52.6495079485238,16.6095583012668,23.5897435897436,30.9613928841787
2025 Bowling Green,54.0140296180826,18.0963420917053,28.7308228730823,31.8784099766173
