seed,Team/Year,AdjTempo,AdjOE,AdjDE,AdjEM,OppeFGPct,OppTOPct,OppORPct,OppFTRate,eFGPct,TOPct,ORPct,FTRate
2.0,2002 Alabama,67.8101,114.177,94.1585,20.0181,46.0177,22.0335,34.8943,33.2842,49.1791,20.0267,40.1736,40.7533
16.0,2002 Alcorn St.,72.5438,99.7682,108.17,-8.40177,48.7268,21.5505,33.3333,35.0663,50.6926,22.587,39.4599,40.4901
3.0,2002 Arizona,71.2261,119.212,97.3917,21.8199,49.2377,18.289,35.9761,28.5202,52.1569,18.9649,35.3328,44.6078
11.0,2002 Boston College,69.027,109.516,99.2719,10.2439,47.4701,22.5636,37.8877,42.3286,47.4124,19.7486,37.3554,40.5646
16.0,2002 Boston University,64.2616,100.971,103.168,-2.19695,45.4545,19.87,32.0135,37.2159,48.0758,19.7274,34.9023,36.8421
6.0,2002 California,66.4567,109.706,92.8917,16.8143,48.1365,24.7955,35.8356,38.8188,50.2163,19.0354,32.8182,36.1817
14.0,2002 Central Connecticut,63.7111,100.112,99.1391,0.972884,46.5035,21.4403,30.8333,25.0135,49.6907,22.0845,38.9925,39.2014
9.0,2002 Charlotte,66.7234,114.501,97.5064,16.9942,47.3368,19.4874,32.3529,33.5051,51.1272,19.8276,35.7008,35.6069
1.0,2002 Cincinnati,66.9485,117.448,86.6033,30.8442,41.5971,21.2481,31.3235,30.3685,51.7383,17.1142,37.7143,40.5118
2.0,2002 Connecticut,68.9657,110.579,92.0294,18.5499,43.0339,20.1432,36.1613,30.66,52.1372,22.0443,39.726,39.1153
12.0,2002 Creighton,66.9458,110.87,99.5253,11.3452,49.7121,22.8965,30.2026,36.9027,52.7064,20.6023,35.6546,36.9054
13.0,2002 Davidson,64.8697,100.838,97.4915,3.34606,44.2918,19.3429,33.3948,37.1184,48.8209,22.5925,32.1748,34.1619
1.0,2002 Duke,73.9016,121.374,87.3522,34.022,46.0595,25.6865,34.0618,32.1378,56.2924,18.5699,34.4605,41.014
