,Team/Year,FT,2PT,3PT,FTagainst,2PTagainst,3Ptagainst
0,2016 North Dakota,20.9292,53.2251,25.8457,19.1284,49.0826,31.789
1,2016 UAB,18.1928,52.5301,29.2771,17.5439,52.4561,30.0
2,2016 Delaware,24.1692,50.4532,25.3776,17.8855,42.9956,39.1189
3,2016 Valparaiso,20.0382,47.0363,32.9254,22.3115,48.9067,28.7818
4,2016 Jacksonville,17.3747,48.6874,33.9379,17.2461,48.3074,34.4465
5,2016 Loyola Chicago,19.7975,51.038,29.1646,21.0241,51.2063,27.7696
6,2016 Colorado,23.4583,47.1584,29.3833,20.762,53.4247,25.8134
7,2016 Dartmouth,22.4479,53.3405,24.2117,21.2106,46.9736,31.8158
8,2016 Canisius,21.8131,44.3389,33.848,20.4871,47.8547,31.6583
9,2016 North Carolina Central,21.1548,51.7118,27.1334,20.9496,48.6539,30.3965
10,2016 Miami FL,21.9521,50.5887,27.4592,17.7618,55.532,26.7062
11,2016 Albany,24.303,52.6009,23.0961,15.955,52.3698,31.6753
12,2016 UTSA,21.7895,49.1423,29.0682,20.8873,48.3706,30.742
13,2016 New Mexico,23.7664,52.0559,24.1776,20.7411,47.7002,31.5588
14,2016 Jacksonville St.,19.6568,44.6178,35.7254,22.1747,53.7512,24.0741
15,2016 Towson,24.4271,52.3373,23.2356,24.1218,47.4941,28.3841
16,2016 Toledo,19.5725,48.8684,31.5591,16.9293,47.8163,35.2544
17,2016 Nebraska Omaha,23.5063,55.0314,21.4623,21.4859,51.1647,27.3494
18,2016 Mississippi,23.3264,45.2391,31.4345,21.6392,45.967,32.3938
19,2016 Detroit,21.3417,51.2369,27.4214,23.8076,48.4375,27.7549
20,2016 Arizona St.,21.2793,46.226,32.4947,20.4056,51.2041,28.3904
21,2016 Kent St.,21.7102,54.4971,23.7926,20.1859,50.4648,29.3493
22,2016 Northern Colorado,23.6767,50.0945,26.2287,24.3415,44.1801,31.4783
23,2016 Portland,18.6164,46.7925,34.5912,21.6107,47.4302,30.9591
24,2016 Dayton,20.8943,51.3999,27.7058,18.9338,47.7022,33.364
25,2016 Rice,23.2907,48.2576,28.4517,18.6939,49.4694,31.8367
26,2016 DePaul,20.0765,55.8317,24.0918,24.3871,43.871,31.7419
27,2016 Air Force,21.7499,50.2224,28.0277,20.3351,42.029,37.6359
28,2016 UNC Asheville,22.7907,54.63,22.5793,19.0476,54.8068,26.1456
29,2016 St. Francis PA,21.724,47.3343,30.9417,17.4964,54.9075,27.596
30,2016 Eastern Illinois,18.5148,49.1353,32.3499,21.704,50.4522,27.8439
31,2016 UMKC,19.7933,49.199,31.0078,24.1093,46.4617,29.429
32,2016 Fairleigh Dickinson,18.4716,52.9628,28.5656,23.834,48.0632,28.1028
